compound_id	SMILES	pic50
193	Cn1ncc(C(=O)N2C[C@@H]3C[C@H]2CO3)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1	6.89138424389378
194	Cn1ncc(C(=O)NCc2ccccc2)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2n1	6.20506185883057
195	CN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccc2[nH]c(-c3ccccc3)nc2c1	9.43846784988096
196	Cc1cn2nc(-c3ccccc3)nc2cc1NC(=O)c1c(C(=O)N2CCC2)cnn1C	9.73048705578208
197	COc1c(C)cnc(CCc2nc(-c3ccccc3)cn2C)c1C	6.16690837418651
198	COc1nc(OCc2nc(-c3ccccc3)cn2C)nc2ccc(Cl)cc12	7.8322603941556
199	CNc1cc(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)cc(Cl)n1	7.06568843658787
200	Cc1ncc(C)n2nc(CCc3nc(N4CCCC4=O)cn3C3CC3)nc12	7.56383735295924
201	CC(C)c1nnc2c(C(=O)NCCc3nc(-c4ccccc4)cn3C)cccn12	7.60477847942649
202	Cc1oc(-c2ccccc2)nc1CCNC(=O)c1nc(C2CC2)cnc1Nc1cncnc1	8.51201366887061
203	CCN(CC)C(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1	7.64888039026233
204	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1cc2nc(-c3ccccc3)nn2cc1F	9.10961759164429
205	CC(C)OC(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1	8.10226297465457
206	Cc1c(Cl)cc(OC(F)F)c2nc(CCc3nc(N4CCCC4)n(C)n3)nn12	9.27084877439499
207	CN(C(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(N3CCOCC3)nc2c1)C1CC1	8.95861301353272
208	Cc1c(Cl)cc(OC2CCOCC2)c2nc(CCc3nc(N4CCCC4)nn3C)nn12	9.44009337496389
209	Cc1sc(CCNC(=O)c2c(C(=O)N3CCC3)cnn2C)nc1-c1ccccc1	6.74513166848518
210	Cc1nn2ccc(OCc3nc(-c4ccccc4)cn3C)nc2c1C	8.46916022138348
211	CN(Cc1ccccn1)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2n1	7.19293876008276
212	CC(C)c1ncc(Nc2ccon2)c(C(=O)N[C@@H]2CCN(c3ccc(Cl)cn3)C2)n1	6.63406339709487
213	Cc1nc(CNC(=O)c2cnn(C)c2C(=O)Nc2ccn3cc(-c4ccccc4)nc3n2)cs1	6.19652581336312
214	Cc1nc2c(C)c(C)c(OCc3nc(-c4ccccc4)cn3C)nn2c1C	8.76929568638743
215	Cn1cc(-c2ccccc2)nc1CCc1cnc2ccccc2n1	7.67879524314555
216	Cc1cnn2c(C)c(CCc3nc(N4CCCC4)nn3C)nc2c1C	7.6926109443467
217	Cn1ncc2c1C(=O)N(c1ccn3nc(-c4cccc(F)c4)nc3c1)C2=O	7.29415338626062
218	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccnc(Cl)c3)nc2c1	8.16102504504453
219	Cc1cncc(-c2nc3cc(NC(=O)c4c(C(=O)N5CCC5)cnn4C)ccn3n2)c1	7.95082075535403
220	CCOC(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(-c3ccccc3OC)nc2c1	7.92554928104541
221	CN(C)C(=O)c1cnn(C)c1C(=O)N[C@@H]1CCn2c(nc(-c3ccccc3)c2Cl)C1	7.52225670221405
222	Cn1ncc(C(=O)N2CCOCC2)c1C(=O)Nc1cn(-c2ccc3ccccc3n2)cn1	8.7552282385047
